Customer_ID,Age,Salary,Experience,Credit_Score,Product_Interest,Purchase_Frequency,Customer_Rating,Purchased
CUST00045,38,80934,31,322,Electronics,3,4,0
CUST00046,26,183403,22,551,Furniture,6,4,0
CUST00047,56,151282,37,589,Furniture,15,3,0
CUST00048,35,121891,33,501,Furniture,36,4,0
CUST00049,21,98754,33,454,Electronics,4,1,1
CUST00050,42,115677,15,405,Clothing,38,1,0
CUST00051,31,132320,33,559,Healthcare,48,2,1
CUST00052,67,163909,39,499,Automobile,32,5,1
CUST00053,26,155261,6,516,Electronics,34,2,0
CUST00054,43,135338,32,710,Electronics,47,5,1
CUST00055,19,70077,3,416,Electronics,33,2,0
CUST00056,37,109915,6,723,Healthcare,32,5,0
CUST00057,45,165311,17,511,Automobile,38,5,1
CUST00058,64,59669,3,454,Automobile,9,2,1
CUST00059,24,78624,10,562,Furniture,2,3,1
CUST00060,61,105147,19,806,Furniture,49,1,0
CUST00061,25,165222,10,450,Clothing,28,4,0
CUST00062,64,172181,14,511,Electronics,34,1,1
CUST00063,52,187088,16,491,Clothing,30,4,1
CUST00064,31,173008,33,397,Electronics,38,5,0
CUST00065,34,172108,11,840,Automobile,14,2,0
CUST00066,53,175093,27,471,Clothing,0,2,0
CUST00067,67,66943,34,670,Automobile,18,4,1
CUST00068,57,143694,7,454,Furniture,36,2,0
CUST00069,21,184316,26,439,Automobile,26,2,0
CUST00070,19,153351,21,555,Healthcare,20,2,1
CUST00071,23,68985,23,715,Clothing,6,1,1
CUST00072,59,162574,1,628,Electronics,42,2,1
CUST00073,21,83836,30,677,Automobile,32,3,0
CUST00074,46,129714,21,565,Clothing,1,4,0
CUST00075,35,33770,0,840,Electronics,13,1,1
CUST00076,43,72865,13,438,Clothing,41,1,0
CUST00077,61,83811,24,811,Clothing,2,5,0
CUST00078,51,34001,35,548,Healthcare,13,5,0
CUST00079,27,90848,35,607,Automobile,4,2,0
CUST00080,53,82635,2,518,Healthcare,16,1,0
CUST00081,31,50946,4,592,Furniture,38,1,1
CUST00082,48,125852,0,709,Clothing,0,2,1
CUST00083,65,121103,18,497,Automobile,42,4,0
CUST00084,32,73744,32,379,Furniture,27,1,1
CUST00085,25,147729,29,684,Furniture,37,5,1
CUST00086,31,53671,11,436,Healthcare,47,2,0
CUST00087,40,177522,9,512,Furniture,13,1,0
CUST00088,57,175980,33,506,Electronics,16,5,0
CUST00089,38,196590,15,432,Electronics,14,3,0
CUST00090,33,87813,39,465,Electronics,45,1,0
CUST00091,62,126748,28,802,Furniture,6,2,0
CUST00092,35,167878,14,729,Clothing,41,5,0
CUST00093,64,134733,10,479,Automobile,6,1,1
CUST00094,41,156865,33,420,Electronics,46,5,1
CUST00095,43,113551,35,473,Electronics,23,2,1
CUST00096,42,159335,29,630,Electronics,25,1,0
CUST00097,62,69220,34,367,Healthcare,13,2,0
CUST00098,58,47158,8,437,Healthcare,46,4,1
CUST00099,46,110992,17,607,Electronics,18,1,0
CUST00100,32,188660,18,629,Electronics,25,1,1
CUST00101,62,92576,38,537,Healthcare,15,5,0
CUST00102,18,118027,3,829,Automobile,33,1,0
CUST00103,42,185260,5,375,Clothing,1,4,0
CUST00104,24,88830,32,450,Automobile,0,5,0
CUST00105,26,165091,31,615,Clothing,47,5,1
CUST00106,41,42419,15,336,Furniture,35,3,1
CUST00107,18,63697,10,425,Furniture,34,1,0
CUST00108,61,114932,21,585,Automobile,42,3,1
CUST00109,25,149712,35,539,Healthcare,23,4,0
CUST00110,41,125428,22,519,Electronics,48,1,0
CUST00111,28,169045,25,306,Furniture,4,3,1
CUST00112,68,116649,30,515,Healthcare,28,3,1
CUST00113,34,152649,28,592,Healthcare,40,5,0
CUST00114,25,41136,4,838,Clothing,0,3,0
CUST00115,52,114739,37,783,Furniture,8,3,0
CUST00116,52,92502,24,342,Automobile,35,1,1
CUST00117,50,192357,33,606,Healthcare,15,1,0
CUST00118,22,53039,11,392,Automobile,14,5,1
CUST00119,59,96720,21,568,Automobile,9,1,1
CUST00120,56,153168,8,514,Furniture,36,4,1
CUST00121,58,118263,19,413,Automobile,15,5,0
CUST00122,45,89155,28,484,Automobile,37,4,0
CUST00123,24,46911,28,424,Electronics,47,1,0
CUST00124,26,30916,26,404,Automobile,35,1,1
CUST00125,25,89052,16,536,Electronics,14,5,1
CUST00126,29,47790,4,457,Furniture,2,3,1
CUST00127,51,166278,12,773,Automobile,18,2,0
CUST00128,50,151937,14,804,Healthcare,40,2,0
CUST00129,65,115053,14,573,Automobile,36,1,1
CUST00130,40,79950,17,416,Electronics,47,4,0
CUST00131,41,146211,1,835,Healthcare,2,5,1
CUST00132,54,86361,22,359,Furniture,7,3,1
CUST00133,52,91451,12,700,Clothing,23,1,1
CUST00134,61,67696,3,479,Clothing,13,4,1
CUST00135,57,132395,24,531,Electronics,34,1,1
CUST00136,39,154121,10,775,Furniture,15,2,0
CUST00137,44,76728,11,544,Furniture,6,1,0
CUST00138,52,85401,12,512,Automobile,40,4,1
CUST00139,18,55103,8,758,Clothing,34,2,0
CUST00140,52,195335,37,427,Automobile,7,1,1
CUST00141,54,80044,5,516,Furniture,11,2,0
CUST00142,64,87730,9,319,Electronics,48,5,0
CUST00143,31,55825,22,359,Electronics,45,4,0
CUST00144,20,67271,14,428,Healthcare,15,4,1
CUST00145,18,107256,22,496,Electronics,3,5,0
CUST00146,22,96433,39,791,Clothing,34,4,1
CUST00147,43,131999,36,803,Healthcare,44,4,1
CUST00148,31,53572,33,546,Clothing,40,1,0
CUST00149,56,68546,15,559,Automobile,44,3,0
CUST00150,44,176222,31,646,Automobile,31,1,0
CUST00151,26,84165,37,496,Electronics,11,5,0
CUST00152,32,93690,39,406,Healthcare,20,5,1
CUST00153,32,66948,4,459,Clothing,14,3,1
CUST00154,43,198102,16,721,Clothing,34,1,0
CUST00155,59,57007,21,506,Furniture,2,1,0
CUST00156,30,130819,38,612,Electronics,1,1,1
CUST00157,68,121207,17,731,Automobile,5,2,0
CUST00158,49,106772,27,534,Furniture,15,2,1
CUST00159,56,52024,12,626,Automobile,22,1,1
CUST00160,66,112912,0,778,Automobile,30,2,0
CUST00161,69,179229,18,727,Clothing,49,1,1
CUST00162,49,115481,33,399,Automobile,40,5,0
CUST00163,21,118553,3,537,Healthcare,29,1,0
CUST00164,47,162828,2,406,Automobile,2,2,1
CUST00165,54,132488,9,663,Healthcare,15,3,0
CUST00166,40,126741,27,792,Automobile,3,5,0
CUST00167,56,108210,33,342,Furniture,45,4,0
CUST00168,62,165607,38,372,Clothing,35,3,0
CUST00169,32,77367,18,603,Furniture,27,3,0
CUST00170,60,178190,35,304,Clothing,49,4,0
CUST00171,46,89884,2,648,Furniture,49,5,0
CUST00172,53,174352,22,699,Electronics,49,4,0
CUST00173,30,175818,16,732,Automobile,27,5,0
CUST00174,49,132572,6,406,Automobile,2,5,1
CUST00175,24,83251,25,416,Electronics,25,5,0
CUST00176,68,114821,17,682,Electronics,38,3,1
CUST00177,39,113583,5,381,Healthcare,12,5,0
CUST00178,45,40207,30,709,Furniture,6,4,0
CUST00179,19,57757,28,369,Automobile,12,3,0
CUST00180,59,177298,8,686,Healthcare,3,5,0
CUST00181,62,188278,34,823,Automobile,15,2,0
CUST00182,23,181328,16,596,Electronics,27,2,0
CUST00183,45,63822,11,364,Healthcare,46,5,1
CUST00184,45,71340,35,477,Healthcare,12,2,0
CUST00185,61,73351,23,307,Healthcare,41,1,0
CUST00186,61,136311,9,458,Furniture,9,3,0
CUST00187,37,105320,29,310,Healthcare,4,1,1
CUST00188,47,132565,28,710,Automobile,35,3,1
CUST00189,28,196229,38,454,Furniture,18,4,0
CUST00190,45,49937,9,505,Automobile,29,2,0
CUST00191,42,41219,38,414,Healthcare,46,2,0
CUST00192,56,39399,27,678,Healthcare,40,2,0
CUST00193,50,156733,17,649,Automobile,47,5,1
CUST00194,18,188729,16,397,Clothing,27,3,1
CUST00195,44,50047,10,318,Healthcare,30,5,0
CUST00196,69,115693,0,612,Healthcare,35,2,0
CUST00197,30,130931,16,827,Furniture,42,4,0
CUST00198,58,167852,35,744,Automobile,48,2,0
CUST00199,20,57050,35,530,Healthcare,0,5,1
CUST00200,56,103551,8,658,Automobile,8,2,0
CUST00201,23,98666,27,682,Furniture,11,1,1
CUST00202,25,112016,32,811,Automobile,22,1,1
CUST00203,44,143135,2,343,Automobile,11,5,1
CUST00204,26,83010,7,664,Furniture,41,1,0
CUST00205,54,68165,5,410,Healthcare,8,3,0
CUST00206,50,41528,5,522,Automobile,25,3,0
CUST00207,68,150840,28,685,Clothing,29,5,0
CUST00208,59,166986,36,564,Healthcare,19,1,1
CUST00209,61,67136,11,570,Furniture,15,3,0
CUST00210,41,172251,8,511,Electronics,12,1,0
CUST00211,32,116008,18,795,Clothing,34,2,0
CUST00212,49,42076,16,613,Healthcare,49,1,0
CUST00213,49,153911,31,686,Furniture,3,1,0
CUST00214,41,185855,34,546,Clothing,24,5,0
CUST00215,58,146625,13,649,Healthcare,12,2,1
CUST00216,69,80298,15,371,Electronics,27,3,1
CUST00217,66,84304,20,595,Healthcare,44,3,0
CUST00218,66,109360,11,512,Electronics,11,1,0
CUST00219,69,99835,23,594,Electronics,23,4,0
CUST00220,29,142424,33,470,Automobile,27,4,0
CUST00221,56,169190,7,545,Furniture,0,3,0
CUST00222,19,86911,20,440,Automobile,33,1,1
CUST00223,20,133088,7,539,Electronics,2,1,1
CUST00224,66,45185,27,610,Furniture,21,2,1
CUST00225,54,80613,15,715,Furniture,20,5,0
CUST00226,66,194999,9,697,Furniture,26,4,1
CUST00227,34,30386,14,321,Clothing,20,1,1
CUST00228,66,60020,3,377,Healthcare,21,3,0
CUST00229,19,72678,25,774,Electronics,12,4,0
CUST00230,19,91394,14,652,Furniture,43,5,0
CUST00231,45,145377,35,670,Clothing,15,1,0
CUST00232,40,151716,31,320,Clothing,45,4,1
CUST00233,54,85918,37,806,Electronics,23,1,1
CUST00234,49,145640,3,459,Automobile,45,5,0
CUST00235,50,190527,8,660,Clothing,16,2,1
CUST00236,18,134446,34,596,Electronics,4,4,1
CUST00237,36,199807,27,651,Clothing,37,5,0
CUST00238,19,124702,36,479,Electronics,41,2,0
CUST00239,61,135509,8,771,Furniture,26,2,0
CUST00240,43,123608,1,694,Automobile,40,5,1
CUST00241,49,144310,2,512,Clothing,31,3,1
CUST00242,23,173181,4,829,Clothing,25,5,0
CUST00243,49,75802,9,694,Clothing,6,1,1
CUST00244,21,64622,27,326,Healthcare,35,3,1
CUST00245,28,139935,14,748,Healthcare,6,2,1
CUST00246,34,147919,13,737,Furniture,42,4,0
CUST00247,55,163669,22,584,Clothing,26,2,0
CUST00248,41,99519,12,488,Automobile,37,4,1
CUST00249,22,178112,15,498,Healthcare,47,4,0
CUST00250,69,74772,29,401,Electronics,47,5,1
CUST00251,51,152431,39,778,Electronics,23,5,1
CUST00252,23,126090,7,523,Electronics,23,2,1
CUST00253,39,188988,16,816,Furniture,44,5,0
CUST00254,28,74871,29,826,Clothing,43,2,1
CUST00255,65,56372,16,740,Clothing,28,5,0
CUST00256,33,69080,34,816,Healthcare,26,5,0
CUST00257,50,136242,0,529,Electronics,33,4,1
CUST00258,26,72722,23,413,Furniture,20,3,0
CUST00259,23,59048,24,815,Automobile,44,5,0
CUST00260,33,115205,1,483,Clothing,0,5,1
CUST00261,46,170849,24,333,Clothing,9,2,1
CUST00262,20,84711,13,595,Furniture,29,4,1
CUST00263,37,197403,38,752,Healthcare,27,4,1
CUST00264,53,50968,32,804,Furniture,41,3,0
CUST00265,36,41292,16,705,Healthcare,29,3,0
CUST00266,43,109459,30,426,Clothing,27,3,1
CUST00267,20,80192,9,441,Healthcare,28,5,1
CUST00268,36,188775,5,427,Healthcare,30,2,1
CUST00269,37,114193,38,649,Healthcare,42,1,0
CUST00270,49,99165,24,823,Healthcare,40,2,1
CUST00271,24,97650,37,762,Electronics,3,4,1
CUST00272,69,159858,36,543,Electronics,48,3,1
CUST00273,58,131398,29,485,Electronics,18,1,0
CUST00274,50,127885,33,532,Electronics,9,4,1
CUST00275,57,183329,17,813,Furniture,44,3,0
CUST00276,56,130588,23,300,Automobile,30,1,1
CUST00277,35,133356,26,538,Healthcare,33,2,0
CUST00278,57,113509,26,354,Furniture,40,4,0
CUST00279,18,81672,38,794,Electronics,38,5,1
CUST00280,28,52113,20,717,Healthcare,41,1,0
CUST00281,45,30694,18,747,Automobile,43,1,0
CUST00282,42,45588,38,637,Healthcare,30,2,1
CUST00283,67,94373,22,576,Clothing,10,2,1
CUST00284,40,115603,38,309,Clothing,35,4,0
CUST00285,48,36704,14,640,Furniture,43,5,1
CUST00286,47,70136,1,403,Automobile,43,3,0
CUST00287,59,97507,34,644,Furniture,31,1,1
CUST00288,52,77361,19,669,Healthcare,22,1,1
CUST00289,24,88847,27,497,Automobile,39,4,1
CUST00290,33,136359,14,313,Furniture,45,3,1
CUST00291,43,172513,15,637,Healthcare,38,3,1
CUST00292,65,148906,32,841,Electronics,2,3,0
CUST00293,69,44677,11,756,Healthcare,27,4,0
CUST00294,66,57818,38,825,Furniture,24,1,1
CUST00295,19,31868,38,735,Automobile,27,2,0
CUST00296,18,113591,19,665,Automobile,18,1,0
CUST00297,65,153962,28,700,Electronics,45,2,1
CUST00298,29,97264,2,781,Furniture,18,2,0
CUST00299,22,103168,4,409,Electronics,41,4,1
CUST00300,54,173115,1,705,Clothing,43,3,1
CUST00301,49,101939,22,608,Healthcare,28,4,1
CUST00302,26,45732,25,459,Clothing,49,2,1
CUST00303,58,85244,25,354,Clothing,18,1,0
CUST00304,52,179598,6,555,Electronics,17,2,0
CUST00305,36,39340,9,833,Electronics,44,4,1
CUST00306,65,52394,4,721,Healthcare,48,1,0
CUST00307,33,128557,11,563,Electronics,23,3,0
CUST00308,20,165174,31,532,Electronics,37,4,0
CUST00309,37,49159,30,532,Electronics,15,5,1
CUST00310,41,152366,21,816,Electronics,17,2,0
CUST00311,50,36212,16,344,Electronics,40,3,0
CUST00312,41,67405,19,735,Clothing,12,3,1
CUST00313,69,160632,19,634,Clothing,3,1,0
CUST00314,28,107061,7,703,Healthcare,12,4,0
CUST00315,66,124296,33,463,Automobile,34,2,0
CUST00316,25,85186,22,555,Healthcare,3,5,0
CUST00317,53,153145,37,365,Furniture,18,2,1
CUST00318,55,40532,27,387,Healthcare,23,4,1
CUST00319,57,96540,12,539,Healthcare,32,3,0
CUST00320,37,133021,28,610,Electronics,32,5,0
CUST00321,52,33271,7,557,Electronics,8,1,0
CUST00322,65,30209,10,813,Electronics,2,4,1
CUST00323,42,166611,17,733,Automobile,2,2,1
CUST00324,52,49977,24,428,Electronics,29,4,0
CUST00325,42,139920,21,625,Furniture,17,1,1
CUST00326,46,158156,34,316,Clothing,1,2,1
CUST00327,35,129588,28,641,Furniture,31,5,0
CUST00328,63,98684,20,548,Automobile,42,2,0
CUST00329,35,153862,6,476,Electronics,8,2,1
CUST00330,19,35607,11,656,Healthcare,1,1,0
CUST00331,52,124786,35,794,Clothing,19,2,0
CUST00332,33,156406,23,334,Automobile,26,4,1
CUST00333,58,179666,31,706,Furniture,35,3,1
CUST00334,53,37399,26,309,Electronics,40,1,1
CUST00335,50,156812,31,830,Automobile,45,1,0
CUST00336,21,186189,31,834,Automobile,18,1,1
CUST00337,50,128662,31,394,Healthcare,15,4,0
CUST00338,31,63617,25,749,Healthcare,25,4,1
CUST00339,38,168570,10,519,Healthcare,13,4,0
CUST00340,65,132826,17,395,Furniture,46,4,0
CUST00341,37,159851,38,680,Healthcare,17,2,0
CUST00342,25,141077,4,506,Automobile,27,1,0
CUST00343,24,80624,15,545,Automobile,46,1,1
CUST00344,20,39628,10,809,Automobile,18,5,0
CUST00345,34,161401,34,382,Clothing,29,3,0
CUST00346,50,68619,10,616,Clothing,40,2,0
CUST00347,65,37032,22,404,Furniture,20,3,1
CUST00348,29,68034,33,669,Healthcare,20,2,0
CUST00349,68,132658,16,479,Automobile,47,2,0
CUST00350,39,151123,9,382,Healthcare,29,2,0
CUST00351,39,116158,17,831,Automobile,48,1,0
CUST00352,63,85264,7,800,Clothing,41,3,1
CUST00353,47,124120,25,647,Automobile,36,3,0
CUST00354,55,77850,2,571,Furniture,40,4,0
CUST00355,55,34722,23,630,Electronics,45,3,0
CUST00356,62,47772,2,688,Automobile,31,4,0
CUST00357,68,116105,37,436,Furniture,29,5,1
CUST00358,25,34576,1,660,Clothing,21,4,1
CUST00359,44,187779,34,581,Clothing,23,2,0
CUST00360,44,129404,16,501,Electronics,9,1,0
CUST00361,51,71476,8,830,Healthcare,23,2,1
CUST00362,38,191357,35,315,Healthcare,0,5,0
CUST00363,47,54154,21,413,Automobile,34,1,1
CUST00364,50,181126,30,367,Clothing,15,5,1
CUST00365,45,47165,33,329,Furniture,4,2,1
CUST00366,64,44439,23,818,Electronics,30,1,1
CUST00367,50,148211,8,321,Healthcare,44,5,0
CUST00368,22,74518,1,730,Automobile,36,4,0
CUST00369,65,56962,20,329,Automobile,24,3,0
CUST00370,36,67763,33,709,Clothing,42,2,1
CUST00371,21,146189,26,348,Furniture,48,4,0
CUST00372,52,140290,36,624,Furniture,24,5,1
CUST00373,66,140814,6,787,Healthcare,2,5,0
CUST00374,34,49464,21,597,Automobile,37,1,1
CUST00375,61,153980,3,480,Clothing,31,4,0
CUST00376,45,194342,13,421,Furniture,47,5,0
CUST00377,47,72299,33,423,Automobile,19,1,0
CUST00378,46,61541,22,752,Furniture,29,3,1
CUST00379,63,103545,24,565,Electronics,1,3,1
CUST00380,23,159188,0,327,Furniture,4,1,0
CUST00381,52,59765,14,558,Furniture,18,4,1
CUST00382,58,53769,31,376,Automobile,19,1,1
CUST00383,54,50156,13,731,Furniture,21,1,1
CUST00384,41,174507,20,334,Furniture,10,4,0
CUST00385,46,197207,6,735,Electronics,17,3,0
CUST00386,66,103631,35,413,Furniture,26,5,0
CUST00387,63,67909,20,361,Furniture,30,3,1
CUST00388,48,99487,39,351,Automobile,34,4,1
CUST00389,52,182540,11,415,Clothing,43,2,0
CUST00390,50,77655,14,346,Electronics,44,4,0
CUST00391,69,195413,14,737,Furniture,20,3,0
CUST00392,38,81786,16,711,Clothing,19,3,1
CUST00393,49,98304,33,400,Automobile,8,4,0
CUST00394,40,133606,34,578,Electronics,30,4,1
CUST00395,50,150938,38,406,Automobile,8,4,0
CUST00396,20,195051,37,334,Clothing,6,3,0
CUST00397,35,110981,13,658,Electronics,32,1,1
CUST00398,42,85107,4,301,Furniture,0,2,0
CUST00399,59,162232,29,791,Clothing,18,1,1
CUST00400,48,117897,3,571,Automobile,2,3,1
CUST00401,20,102577,14,443,Electronics,38,1,0
CUST00402,57,171918,38,734,Clothing,11,4,0
CUST00403,63,134180,34,750,Clothing,29,5,1
CUST00404,41,49924,9,527,Automobile,15,4,0
CUST00405,67,141193,1,844,Automobile,12,2,0
CUST00406,49,174954,23,513,Furniture,49,4,1
CUST00407,64,31095,27,547,Furniture,23,5,0
CUST00408,39,134205,21,707,Clothing,16,3,0
CUST00409,40,44123,31,352,Automobile,26,1,0
CUST00410,19,75278,30,613,Clothing,28,4,1
CUST00411,44,127911,18,673,Healthcare,40,1,0
CUST00412,59,81999,20,336,Automobile,13,2,0
CUST00413,19,61153,2,823,Healthcare,4,1,0
CUST00414,43,48344,5,383,Healthcare,42,2,1
CUST00415,34,67656,31,393,Automobile,37,2,1
CUST00416,57,31212,1,714,Furniture,5,4,0
CUST00417,50,150385,23,641,Clothing,23,5,0
CUST00418,26,170073,26,849,Electronics,39,1,0
CUST00419,60,108784,8,720,Electronics,32,2,0
CUST00420,65,128723,12,647,Automobile,8,2,1
CUST00421,56,111144,13,427,Furniture,41,2,0
CUST00422,46,197499,10,451,Furniture,48,3,1
CUST00423,59,61368,13,821,Furniture,2,1,0
CUST00424,43,91160,15,337,Electronics,22,1,0
CUST00425,52,186926,9,726,Healthcare,20,2,0
CUST00426,67,40715,19,404,Electronics,21,1,0
CUST00427,42,88784,15,464,Furniture,44,1,0
CUST00428,41,159193,33,843,Electronics,7,3,1
CUST00429,30,129644,15,511,Electronics,19,2,1
CUST00430,24,56797,13,825,Clothing,13,1,1
CUST00431,53,77573,27,431,Automobile,29,5,0
CUST00432,62,106120,17,451,Healthcare,7,2,1
CUST00433,37,44780,25,395,Clothing,18,1,1
CUST00434,18,67905,37,802,Automobile,44,3,1
CUST00435,25,182645,6,821,Furniture,37,5,0
CUST00436,63,146049,33,673,Clothing,35,4,1
CUST00437,33,159651,6,315,Automobile,5,4,0
CUST00438,31,63359,32,317,Clothing,33,5,0
CUST00439,29,96062,34,708,Electronics,9,4,0
CUST00440,68,103391,38,306,Electronics,30,5,0
CUST00441,40,73463,20,544,Clothing,10,1,1
CUST00442,32,129596,27,428,Clothing,42,4,0
CUST00443,45,125018,31,754,Healthcare,34,4,0
CUST00444,51,46571,15,371,Furniture,10,5,0
CUST00445,19,180214,9,459,Electronics,39,1,0
CUST00446,49,55104,22,386,Clothing,31,1,0
CUST00447,40,38625,14,700,Automobile,48,2,1
CUST00448,39,69199,5,761,Furniture,25,2,1
CUST00449,68,150725,32,828,Automobile,21,1,1
CUST00450,42,176998,38,388,Furniture,0,5,1
CUST00451,39,61218,11,305,Automobile,47,3,1
CUST00452,39,121916,35,383,Electronics,28,3,0
CUST00453,66,153182,30,549,Clothing,38,2,0
CUST00454,69,50566,9,715,Clothing,21,4,0
CUST00455,59,63205,33,371,Healthcare,31,3,0
CUST00456,23,139084,9,411,Clothing,24,4,0
CUST00457,32,59717,10,471,Electronics,39,4,0
CUST00458,60,137292,13,572,Furniture,44,1,0
CUST00459,54,186207,2,829,Furniture,28,3,1
CUST00460,50,189236,32,618,Clothing,36,3,0
CUST00461,25,68562,6,381,Automobile,31,4,1
CUST00462,61,50169,3,374,Clothing,29,4,1
CUST00463,61,51604,38,728,Furniture,17,1,0
CUST00464,22,119670,9,759,Healthcare,43,5,1
CUST00465,56,144605,14,645,Furniture,47,3,1
CUST00466,21,118738,15,548,Automobile,2,3,1
CUST00467,23,161756,37,686,Automobile,11,1,1
CUST00468,62,158140,3,662,Healthcare,19,1,1
CUST00469,49,132537,3,595,Automobile,49,5,0
CUST00470,69,141301,35,367,Clothing,7,4,0
CUST00471,47,38007,26,737,Clothing,30,3,0
CUST00472,64,144915,21,831,Furniture,23,4,0
CUST00473,52,147419,21,432,Electronics,12,3,0
CUST00474,57,71787,16,594,Clothing,7,1,0
CUST00475,69,79582,33,595,Clothing,41,1,1
CUST00476,33,113629,31,332,Healthcare,13,1,0
CUST00477,30,35782,5,673,Clothing,14,5,1
CUST00478,67,96770,32,331,Furniture,20,3,0
CUST00479,59,87645,7,604,Healthcare,14,1,0
CUST00480,47,133509,35,407,Clothing,25,5,0
CUST00481,36,193068,4,395,Furniture,37,4,0
CUST00482,34,59204,4,365,Healthcare,45,5,1
CUST00483,36,47152,9,820,Electronics,37,5,1
CUST00484,45,120555,39,529,Furniture,32,2,0
CUST00485,43,49689,6,657,Clothing,9,4,0
CUST00486,54,113251,11,701,Healthcare,18,2,1
CUST00487,43,136565,29,398,Electronics,10,3,0
CUST00488,40,183014,24,570,Furniture,2,5,0
CUST00489,26,68712,27,661,Electronics,22,5,0
CUST00490,29,79632,12,463,Furniture,5,5,0
CUST00491,18,199103,21,827,Clothing,40,5,1
CUST00492,18,50478,17,468,Furniture,40,2,1
CUST00493,64,52551,26,320,Clothing,28,3,1
CUST00494,51,78068,7,839,Furniture,3,2,1
CUST00495,49,123608,5,696,Healthcare,2,5,1
CUST00496,65,65561,10,335,Furniture,19,3,0
CUST00497,42,163964,28,794,Furniture,42,4,1
CUST00498,57,54395,4,613,Automobile,48,2,0
CUST00499,62,48756,6,789,Automobile,7,1,0
CUST00500,18,195723,21,575,Furniture,5,4,0
CUST00501,33,96333,3,532,Automobile,4,4,0
CUST00502,56,182418,31,735,Clothing,7,5,0
CUST00503,22,143561,18,305,Automobile,7,5,0
CUST00504,39,58024,32,834,Furniture,34,4,0
CUST00505,46,35947,0,543,Electronics,18,2,0
CUST00506,20,157192,7,540,Electronics,47,3,0
CUST00507,29,124238,31,572,Furniture,9,2,0
CUST00508,43,97428,29,374,Furniture,34,2,0
CUST00509,33,190826,27,582,Electronics,8,4,1
CUST00510,68,93355,31,834,Healthcare,7,2,0
CUST00511,54,159958,24,386,Automobile,7,3,0
CUST00512,39,174490,33,448,Healthcare,7,4,1
CUST00513,46,165905,32,449,Clothing,19,2,1
CUST00514,31,161637,12,459,Electronics,6,5,0
CUST00515,45,48402,24,745,Electronics,45,2,1
CUST00516,22,105851,39,381,Healthcare,21,4,1
CUST00517,64,42834,38,306,Clothing,16,4,1
CUST00518,66,97850,9,481,Healthcare,43,5,0
CUST00519,47,67180,30,825,Clothing,4,4,1
CUST00520,63,164955,10,777,Furniture,33,1,1
CUST00521,69,139688,24,482,Furniture,24,4,1
CUST00522,22,136520,33,613,Electronics,46,2,0
CUST00523,29,41695,19,473,Furniture,42,3,1
CUST00524,33,157135,6,313,Healthcare,14,2,1
CUST00525,43,184195,32,599,Clothing,30,4,1
CUST00526,43,88481,34,372,Electronics,44,1,0
CUST00527,65,103438,28,813,Furniture,18,2,0
CUST00528,38,141491,11,642,Electronics,43,3,0
CUST00529,56,178645,4,695,Electronics,30,2,1
CUST00530,53,151844,11,632,Clothing,46,5,0
